Series,Base Year,Year,CPI - IW,CPI – IW (Food and Beverages),CPI - AL,CPI All India General Index Rural,CPI All India General Index Urban,CPI All India General Index Combined,CPI All India Combined: Food and beverages
Base  Year 1982 = 100,1982,1989-90,173,177,,,,,
Base  Year 1982 = 100,1982,1990-91,193,199,,,,,
Base  Year 1982 = 100,1982,1991-92,219,230,,,,,
Base  Year 1982 = 100,1982,1992-93,240,254,,,,,
Base  Year 1982 = 100,1982,1993-94,258,272,,,,,
Base  Year 1982 = 100,1982,1994-95,284,304,,,,,
Base  Year 1982 = 100,1982,1995-96,313,337,,,,,
Base  Year 1982 = 100,1982,1996-97,342,369,,,,,
Base  Year 1982 = 100,1982,1997-98,366,388,,,,,
Base  Year 1982 = 100,1982,1998-99,414,445,,,,,
Base  Year 1982 = 100,1982,1999-00,428,446,,,,,
Base  Year 1982 = 100,1982,2000-01,444,453,,,,,
Base  Year 1982 = 100,1982,2001-02,463,466,,,,,
Base  Year 1982 = 100,1982,2002-03,482,477,,,,,
Base  Year 1982 = 100,1982,2003-04,500,495,,,,,
Base  Year 1982 = 100,1982,2004-05,520,506,,,,,
Base Year 2001 = 100,2001,2005-06,117,115,,,,,
Base Year 2001 = 100,2001,2006-07,125,126,,,,,
Base Year 2001 = 100,2001,2007-08,133,136,,,,,
Base Year 2001 = 100,2001,2008-09,145,153,,,,,
Base Year 2001 = 100,2001,2009-10,163,176,,,,,
Base Year 2001 = 100,2001,2010-11,180,194,,,,,
Base Year 2001 = 100,2001,2011-12,195,206,,,,,
Base Year 2001 = 100,2001,2012-13,215,230,,,,,
Base Year 2001 = 100,2001,2013-14,236,259,,,,,
Base Year 2001 = 100,2001,2014-15,251,276,,,,,
Base Year 2001 = 100,2001,2015-16,265,293,,,,,
Base Year 2001 = 100,2001,2016-17,276,305,,,,,
Base Year 2001 = 100,2001,2017-18,284,310,,,,,
Base Year 2001 = 100,2001,2018-19,300,312,,,,,
Base Year 2001 = 100,2001,2019-20,323,335,,,,,
Base Year 2016 = 100,2016,2020-21,118,118,,,,,
Base Year 2016 = 100,2016,2021-22,124,124,,,,,
Base Year 2016 = 100,2016,2022-23,131,131,,,,,
Base  Year 1960-61 = 100,1960-61,1989-90,,,747,,,,
Base  Year 1960-61 = 100,1960-61,1990-91,,,803,,,,
Base  Year 1960-61 = 100,1960-61,1991-92,,,958,,,,
Base  Year 1960-61 = 100,1960-61,1992-93,,,1076,,,,
Base  Year 1960-61 = 100,1960-61,1993-94,,,1114,,,,
Base  Year 1960-61 = 100,1960-61,1994-95,,,1247,,,,
Base Year 1986-87 = 100,1986-87,1995-96,,,234,,,,
Base Year 1986-87 = 100,1986-87,1996-97,,,256,,,,
Base Year 1986-87 = 100,1986-87,1997-98,,,264,,,,
Base Year 1986-87 = 100,1986-87,1998-99,,,293,,,,
Base Year 1986-87 = 100,1986-87,1999-00,,,306,,,,
Base Year 1986-87 = 100,1986-87,2000-01,,,305,,,,
Base Year 1986-87 = 100,1986-87,2001-02,,,309,,,,
Base Year 1986-87 = 100,1986-87,2002-03,,,319,,,,
Base Year 1986-87 = 100,1986-87,2003-04,,,331,,,,
Base Year 1986-87 = 100,1986-87,2004-05,,,340,,,,
Base Year 1986-87 = 100,1986-87,2005-06,,,353,,,,
Base Year 1986-87 = 100,1986-87,2006-07,,,380,,,,
Base Year 1986-87 = 100,1986-87,2007-08,,,409,,,,
Base Year 1986-87 = 100,1986-87,2008-09,,,450,,,,
Base Year 1986-87 = 100,1986-87,2009-10,,,513,,,,
Base Year 1986-87 = 100,1986-87,2010-11,,,564,,,,
Base Year 1986-87 = 100,1986-87,2011-12,,,611,,,,
Base Year 1986-87 = 100,1986-87,2012-13,,,672,,,,
Base Year 1986-87 = 100,1986-87,2013-14,,,750,,,,
Base Year 1986-87 = 100,1986-87,2014-15,,,800,,,,
Base Year 1986-87 = 100,1986-87,2015-16,,,835,,,,
Base Year 1986-87 = 100,1986-87,2016-17,,,870,,,,
Base Year 1986-87 = 100,1986-87,2017-18,,,889,,,,
Base Year 1986-87 = 100,1986-87,2018-19,,,907,,,,
Base Year 1986-87 = 100,1986-87,2019-20,,,980,,,,
Base Year 1986-87 = 100,1986-87,2020-21,,,1034,,,,
Base Year 1986-87 = 100,1986-87,2021-22,,,1075,,,,
Base Year 1986-87 = 100,1986-87,2022-23,,,1148,,,,
Base Year 2012 = 100,2012,2011-12,,,,92.8,93.8,93.3,92.9
Base Year 2012 = 100,2012,2012-13,,,,102.7,102.3,102.5,103.3
Base Year 2012 = 100,2012,2013-14,,,,112.6,111.8,112.2,115.6
Base Year 2012 = 100,2012,2014-15,,,,119.5,118.1,118.9,123.1
Base Year 2012 = 100,2012,2015-16,,,,126.1,123,124.7,129.4
Base Year 2012 = 100,2012,2016-17,,,,132.4,127.9,130.3,135.2
Base Year 2012 = 100,2012,2017-18,,,,137.2,132.5,135,138.1
Base Year 2012 = 100,2012,2018-19,,,,141.3,137.7,139.6,139.1
Base Year 2012 = 100,2012,2019-20,,,,147.3,145.1,146.3,147.5
Base Year 2012 = 100,2012,2020-21,,,,156.1,154.4,155.3,158.3
Base Year 2012 = 100,2012,2021-22,,,,164.5,163.1,163.8,
Base Year 2012 = 100,2012,2022-23,,,,175.8,173.5,174.7,
